element,table,primary_community,primary_membership,secondary_community_1,secondary_membership_1
dbo.Table1.att_14,Table1,community_3,0.3807176463059067,,
dbo.Table1.att_16,Table1,community_2,0.32703244529378633,community_1,0.31267770611077306
dbo.Table1.att_17,Table1,community_0,0.317418555310298,,
dbo.Table1.att_18,Table1,community_2,0.27744130445702603,,
dbo.Table1.att_8,Table1,community_2,0.26863968652464854,,
dbo.Table10.att_1,Table10,community_2,0.33725955407471936,community_1,0.33116427309944874
dbo.Table10.att_10,Table10,community_0,0.28067300552240865,,
dbo.Table10.att_11,Table10,community_0,0.34800718528415653,,
dbo.Table10.att_13,Table10,community_2,0.32385166280699845,community_1,0.3171128332348383
dbo.Table10.att_18,Table10,community_0,0.29998959280792553,,
dbo.Table10.att_3,Table10,community_2,0.326534235686816,community_1,0.307416600658703
dbo.Table10.att_8,Table10,community_1,0.29525009978504224,,
dbo.Table10.att_9,Table10,community_3,0.3095151105565732,,
dbo.Table2.att_11,Table2,community_1,0.2965488468959801,,
dbo.Table2.att_13,Table2,community_2,0.2971518893911244,,
dbo.Table2.att_17,Table2,community_2,0.27869567073155066,,
dbo.Table2.att_19,Table2,community_3,0.42412643208599815,,
dbo.Table2.att_20,Table2,community_2,0.2922877438143043,,
dbo.Table2.att_3,Table2,community_0,0.3003551222376163,,
dbo.Table2.att_9,Table2,community_3,0.28588962127151574,,
dbo.Table3.att_12,Table3,community_1,0.30128324400411116,community_2,0.301216322161396
dbo.Table3.att_15,Table3,community_2,0.29977079307807675,,
dbo.Table3.att_16,Table3,community_2,0.33202629250447363,community_1,0.316279870723582
dbo.Table3.att_17,Table3,community_0,0.31065341479834074,,
dbo.Table3.att_2,Table3,community_0,0.3061589230280454,,
dbo.Table3.att_3,Table3,community_3,0.7770946129905382,,
dbo.Table3.att_4,Table3,community_2,0.3156613544367158,,
dbo.Table3.att_6,Table3,community_1,0.3054110905993007,,
dbo.Table3.att_7,Table3,community_3,0.29018578026127206,,
dbo.Table3.att_8,Table3,community_1,0.29396117619134227,,
dbo.Table4.att_11,Table4,community_2,0.26455126063920015,,
dbo.Table4.att_12,Table4,community_1,0.31896571282071173,community_2,0.3142182187440628
dbo.Table4.att_15,Table4,community_0,0.3167393606330929,,
dbo.Table4.att_16,Table4,community_3,0.2585611791481154,,
dbo.Table4.att_18,Table4,community_3,0.32953920444086676,,
dbo.Table4.att_4,Table4,community_0,0.31522271849605127,,
dbo.Table5.att_10,Table5,community_0,0.3363574091529245,,
dbo.Table5.att_11,Table5,community_3,0.7087359871836268,,
dbo.Table5.att_13,Table5,community_0,0.34734192044475304,,
dbo.Table5.att_16,Table5,community_0,0.3477628647088518,,
dbo.Table5.att_17,Table5,community_3,0.5147943043726714,,
dbo.Table5.att_18,Table5,community_2,0.30544723918468897,community_1,0.30309219304223095
dbo.Table5.att_2,Table5,community_2,0.28769790328038586,,
dbo.Table5.att_3,Table5,community_0,0.2680145887280407,,
dbo.Table5.att_5,Table5,community_1,0.3051044215363367,community_2,0.3010540820111014
dbo.Table6.att_10,Table6,community_2,0.2858546192728583,,
dbo.Table6.att_17,Table6,community_0,0.2950751542473329,,
dbo.Table6.att_2,Table6,community_2,0.3033054087569225,community_1,0.30318843773317755
dbo.Table6.att_20,Table6,community_0,0.2982076526096476,,
dbo.Table6.att_4,Table6,community_3,0.3391731251033147,,
dbo.Table6.att_9,Table6,community_3,0.2962444811215666,,
dbo.Table7.att_12,Table7,community_2,0.2971518893911244,,
dbo.Table7.att_13,Table7,community_0,0.3185304027712003,,
dbo.Table7.att_16,Table7,community_2,0.2837605787050693,,
dbo.Table7.att_17,Table7,community_2,0.2742656306031007,,
dbo.Table7.att_20,Table7,community_0,0.3334285564242401,,
dbo.Table7.att_6,Table7,community_3,0.31742261246626047,,
dbo.Table8.att_1,Table8,community_2,0.28219787072131547,,
dbo.Table8.att_10,Table8,community_2,0.3013736609863133,,
dbo.Table8.att_13,Table8,community_0,0.2835671250120168,,
dbo.Table8.att_14,Table8,community_2,0.33431026714194395,community_1,0.3145855528421207
dbo.Table8.att_15,Table8,community_3,0.5794388205663525,,
dbo.Table8.att_17,Table8,community_0,0.26338399344394314,,
dbo.Table8.att_18,Table8,community_0,0.3832737237261139,,
dbo.Table8.att_19,Table8,community_3,0.2928492415581548,,
dbo.Table8.att_20,Table8,community_2,0.3337425770983829,community_1,0.32862266602163753
dbo.Table8.att_7,Table8,community_3,0.3104348069060436,,
dbo.Table8.att_9,Table8,community_3,0.3484960094095769,,
dbo.Table9.att_1,Table9,community_3,0.3656398465135424,,
dbo.Table9.att_10,Table9,community_3,0.27210131540919436,,
dbo.Table9.att_14,Table9,community_0,0.2561055371916632,,
dbo.Table9.att_16,Table9,community_2,0.2861414124360132,,
dbo.Table9.att_17,Table9,community_0,0.2945601972297959,,
dbo.Table9.att_18,Table9,community_0,0.35582895044873064,,
dbo.Table9.att_19,Table9,community_0,0.2680145887280406,,
dbo.Table9.att_5,Table9,community_3,0.7770946129905382,,
dbo.Table9.att_9,Table9,community_0,0.3120436445125445,,
